"skill1","skill2","name1","name2","weight","count","occupation_count"
"1.A.1.a.1","1.A.1.a.2","Oral Comprehension","Written Comprehension",152.629321289892,135,135
"1.A.1.a.1","1.A.1.a.3","Oral Comprehension","Oral Expression",175.105903045057,158,158
"1.A.1.a.1","1.A.1.a.4","Oral Comprehension","Written Expression",151.285969489876,132,132
"1.A.1.a.1","1.A.1.b.1","Oral Comprehension","Fluency of Ideas",152.018154603332,136,136
"1.A.1.a.1","1.A.1.b.2","Oral Comprehension","Originality",151.389720955369,135,135
"1.A.1.a.1","1.A.1.b.3","Oral Comprehension","Problem Sensitivity",113.94433388366,105,105
"1.A.1.a.1","1.A.1.b.4","Oral Comprehension","Deductive Reasoning",134.681153471243,122,122
"1.A.1.a.1","1.A.1.b.5","Oral Comprehension","Inductive Reasoning",136.243374342344,123,123
"1.A.1.a.1","1.A.1.b.6","Oral Comprehension","Information Ordering",110.360325503029,101,101
"1.A.1.a.1","1.A.1.b.7","Oral Comprehension","Category Flexibility",119.396646790996,109,109
"1.A.1.a.1","1.A.1.c.1","Oral Comprehension","Mathematical Reasoning",119.259903931331,104,104
"1.A.1.a.1","1.A.1.c.2","Oral Comprehension","Number Facility",116.912492710367,103,103
"1.A.1.a.1","1.A.1.d.1","Oral Comprehension","Memorization",141.347338930436,127,127
"1.A.1.a.1","1.A.1.e.1","Oral Comprehension","Speed of Closure",113.037684444129,103,103
"1.A.1.a.1","1.A.1.e.2","Oral Comprehension","Flexibility of Closure",92.548516347407,85,85
"1.A.1.a.1","1.A.1.e.3","Oral Comprehension","Perceptual Speed",78.7043111269303,72,72
"1.A.1.a.1","1.A.1.f.1","Oral Comprehension","Spatial Orientation",38.8975483321733,33,33
"1.A.1.a.1","1.A.1.f.2","Oral Comprehension","Visualization",63.6933975811201,58,58
"1.A.1.a.1","1.A.1.g.1","Oral Comprehension","Selective Attention",94.8646339863828,87,87
"1.A.1.a.1","1.A.1.g.2","Oral Comprehension","Time Sharing",112.345784393718,102,102
"1.A.1.a.1","1.A.2.a.1","Oral Comprehension","Arm-Hand Steadiness",50.1289998677571,44,44
"1.A.1.a.1","1.A.2.a.2","Oral Comprehension","Manual Dexterity",46.3760545533542,40,40
"1.A.1.a.1","1.A.2.a.3","Oral Comprehension","Finger Dexterity",54.9033368229464,49,49
"1.A.1.a.1","1.A.2.b.1","Oral Comprehension","Control Precision",34.0660388801601,30,30
"1.A.1.a.1","1.A.2.b.2","Oral Comprehension","Multilimb Coordination",45.0748516639289,39,39
"1.A.1.a.1","1.A.2.b.3","Oral Comprehension","Response Orientation",31.3313944521798,27,27
"1.A.1.a.1","1.A.2.b.4","Oral Comprehension","Rate Control",32.4869815954692,29,29
"1.A.1.a.1","1.A.2.c.1","Oral Comprehension","Reaction Time",31.920038527501,28,28
"1.A.1.a.1","1.A.2.c.2","Oral Comprehension","Wrist-Finger Speed",50.37104980275,45,45
"1.A.1.a.1","1.A.2.c.3","Oral Comprehension","Speed of Limb Movement",46.2936651066076,40,40
"1.A.1.a.1","1.A.3.a.1","Oral Comprehension","Static Strength",51.1294687336588,44,44
"1.A.1.a.1","1.A.3.a.2","Oral Comprehension","Explosive Strength",46.7737154964477,40,40
"1.A.1.a.1","1.A.3.a.3","Oral Comprehension","Dynamic Strength",59.6228725654594,52,52
"1.A.1.a.1","1.A.3.a.4","Oral Comprehension","Trunk Strength",50.7086968005921,44,44
"1.A.1.a.1","1.A.3.b.1","Oral Comprehension","Stamina",60.0068294778231,51,51
"1.A.1.a.1","1.A.3.c.1","Oral Comprehension","Extent Flexibility",53.5963385797313,46,46
"1.A.1.a.1","1.A.3.c.2","Oral Comprehension","Dynamic Flexibility",32.9997203724444,28,28
"1.A.1.a.1","1.A.3.c.3","Oral Comprehension","Gross Body Coordination",59.0181428114876,50,50
