"occupation1";"occupation2";"name1";"name2";"weight";"count";"max_count"
"11-2011.00";"11-2021.00";"11-2011.00";"11-2021.00";0,86734693877551;85;98
"11-2011.00";"11-2022.00";"11-2011.00";"11-2022.00";0,785714285714286;77;98
"11-2011.00";"11-3012.00";"11-2011.00";"11-3012.00";0,653061224489796;64;98
"11-2011.00";"11-3021.00";"11-2011.00";"11-3021.00";0,744897959183674;73;98
"11-2011.00";"11-3051.03";"11-2011.00";"11-3051.03";0,510204081632653;50;98
"11-2011.00";"11-3051.06";"11-2011.00";"11-3051.06";0,479591836734694;47;98
"11-2011.00";"11-3071.04";"11-2011.00";"11-3071.04";0,73469387755102;72;98
"11-2011.00";"11-3121.00";"11-2011.00";"11-3121.00";0,816326530612245;80;98
"11-2011.00";"11-9031.00";"11-2011.00";"11-9031.00";0,755102040816326;74;98
"11-2011.00";"11-9032.00";"11-2011.00";"11-9032.00";0,73469387755102;72;98
"11-2011.00";"11-9033.00";"11-2011.00";"11-9033.00";0,833333333333333;85;102
"11-2011.00";"11-9051.00";"11-2011.00";"11-9051.00";0,63265306122449;62;98
"11-2011.00";"11-9081.00";"11-2011.00";"11-9081.00";0,642857142857143;63;98
"11-2011.00";"11-9131.00";"11-2011.00";"11-9131.00";0,755102040816326;74;98
"11-2011.00";"11-9151.00";"11-2011.00";"11-9151.00";0,83;83;100
"11-2011.00";"11-9199.02";"11-2011.00";"11-9199.02";0,714285714285714;70;98
"11-2011.00";"11-9199.08";"11-2011.00";"11-9199.08";0,663265306122449;65;98
"11-2011.00";"11-9199.10";"11-2011.00";"11-9199.10";0,683673469387755;67;98
"11-2011.00";"13-1022.00";"11-2011.00";"13-1022.00";0,76530612244898;75;98
"11-2011.00";"13-1023.00";"11-2011.00";"13-1023.00";0,78;78;100
"11-2011.00";"13-1032.00";"11-2011.00";"13-1032.00";0,5;49;98
"11-2011.00";"13-1041.03";"11-2011.00";"13-1041.03";0,795918367346939;78;98
"11-2011.00";"13-1041.04";"11-2011.00";"13-1041.04";0,5;49;98
"11-2011.00";"13-1041.07";"11-2011.00";"13-1041.07";0,724489795918367;71;98
"11-2011.00";"13-1041.08";"11-2011.00";"13-1041.08";0,795918367346939;78;98
"11-2011.00";"13-1071.00";"11-2011.00";"13-1071.00";0,795918367346939;78;98
"11-2011.00";"13-1081.00";"11-2011.00";"13-1081.00";0,755102040816326;74;98
"11-2011.00";"13-1121.00";"11-2011.00";"13-1121.00";0,693877551020408;68;98
"11-2011.00";"13-1161.00";"11-2011.00";"13-1161.00";0,785714285714286;77;98
"11-2011.00";"13-1199.04";"11-2011.00";"13-1199.04";0,785714285714286;77;98
"11-2011.00";"13-2053.00";"11-2011.00";"13-2053.00";0,724489795918367;71;98
"11-2011.00";"15-1212.00";"11-2011.00";"15-1212.00";0,724489795918367;71;98
