target,source,diffusion_count,diffusion_weighted_sum,skills_diffused,year_emission,year_adoption,avg_rca_source,avg_rca_target,diffusion_weighted_mean,source_education,source_wage,target_education,target_wage,structural_distance,education_diff_abs,education_diff_rel,wage_diff_abs,wage_diff_rel,Source_Cluster,Target_Cluster,same_cluster
11-1011.00,11-2021.00,36,46.1440564089608,"Active Listening|Analyzing Data or Information|Communicating with Supervisors, Peers, or Subordinates|Complex Problem Solving|Computers and Electronics|Customer and Personal Service|Developing and Building Teams|Establishing and Maintaining Interpersonal Relationships|Fine Arts|Foreign Language|Geography|History and Archeology|Identifying Objects, Actions, and Events|Inductive Reasoning|Information Ordering|Judgment and Decision Making|Management of Financial Resources|Mathematical Reasoning|Mathematics|Monitoring|Monitoring and Controlling Resources|Negotiation|Operations Analysis|Oral Comprehension|Organizing, Planning, and Prioritizing Work|Personnel and Human Resources|Persuasion|Problem Sensitivity|Processing Information|Resolving Conflicts and Negotiating with Others|Social Perceptiveness|Speaking|Speech Clarity|Staffing Organizational Units|Thinking Creatively|Written Comprehension",2015,2023,1.35033958028241,1.22168580962029,1.28177934469335,6.6805,128750,7.2413,206420,,0.5608,0.0839458124391888,77670,0.60326213592233,1,1,1
11-1011.00,13-1022.00,34,42.9117157238126,"Active Listening|Analyzing Data or Information|Communicating with People Outside the Organization|Communicating with Supervisors, Peers, or Subordinates|Complex Problem Solving|Computers and Electronics|Coordination|Customer and Personal Service|Developing and Building Teams|Economics and Accounting|Establishing and Maintaining Interpersonal Relationships|Foreign Language|Guiding, Directing, and Motivating Subordinates|Identifying Objects, Actions, and Events|Inductive Reasoning|Information Ordering|Management of Financial Resources|Mathematical Reasoning|Mathematics|Monitoring|Operations Analysis|Oral Comprehension|Organizing, Planning, and Prioritizing Work|Originality|Persuasion|Problem Sensitivity|Processing Information|Resolving Conflicts and Negotiating with Others|Social Perceptiveness|Speaking|Speech Clarity|Staffing Organizational Units|Time Management|Written Comprehension",2015,2023,1.30994268714087,1.22237214875088,1.26210928599449,3.9402,52940,7.2413,206420,,3.3011,0.837800111669458,153480,2.89913109180204,1,1,1
11-1011.00,13-1041.03,36,45.4060759987483,"Active Listening|Analyzing Data or Information|Communicating with People Outside the Organization|Communicating with Supervisors, Peers, or Subordinates|Complex Problem Solving|Computers and Electronics|Coordination|Customer and Personal Service|Developing and Building Teams|Education and Training|Evaluating Information to Determine Compliance with Standards|Foreign Language|History and Archeology|Identifying Objects, Actions, and Events|Inductive Reasoning|Instructing|Judgment and Decision Making|Mathematical Reasoning|Mathematics|Monitoring|Operations Analysis|Oral Comprehension|Organizing, Planning, and Prioritizing Work|Originality|Personnel and Human Resources|Persuasion|Problem Sensitivity|Processing Information|Psychology|Resolving Conflicts and Negotiating with Others|Social Perceptiveness|Speaking|Speech Clarity|Staffing Organizational Units|Thinking Creatively|Training and Teaching Others",2015,2023,1.36956232526333,1.17336570061486,1.26127988885412,6.1439,65640,7.2413,206420,,1.0974,0.178616188414525,140780,2.14472882388787,1,1,1
11-1011.00,17-2011.00,32,39.2230457431695,"Active Listening|Analyzing Data or Information|Communicating with People Outside the Organization|Complex Problem Solving|Computers and Electronics|Coordinating the Work and Activities of Others|Coordination|Developing and Building Teams|Engineering and Technology|Establishing and Maintaining Interpersonal Relationships|Evaluating Information to Determine Compliance with Standards|Foreign Language|Guiding, Directing, and Motivating Subordinates|Identifying Objects, Actions, and Events|Judgment and Decision Making|Management of Financial Resources|Mathematical Reasoning|Mathematics|Monitoring|Negotiation|Operations Analysis|Oral Comprehension|Organizing, Planning, and Prioritizing Work|Persuasion|Problem Sensitivity|Processing Information|Speaking|Speech Clarity|Thinking Creatively|Time Management|Training and Teaching Others|Written Comprehension",2015,2023,1.27832254333514,1.20312578631814,1.22572017947405,6.5907,107830,7.2413,206420,,0.650600000000001,0.0987148557816317,98590,0.914309561346564,1,1,1
11-1011.00,17-2072.01,36,42.6109174701031,"Active Listening|Analyzing Data or Information|Communicating with People Outside the Organization|Communicating with Supervisors, Peers, or Subordinates|Complex Problem Solving|Computers and Electronics|Coordination|Customer and Personal Service|Developing and Building Teams|Economics and Accounting|Education and Training|Establishing and Maintaining Interpersonal Relationships|Evaluating Information to Determine Compliance with Standards|Geography|Guiding, Directing, and Motivating Subordinates|Identifying Objects, Actions, and Events|Information Ordering|Instructing|Judgment and Decision Making|Management of Financial Resources|Mathematical Reasoning|Mathematics|Monitoring and Controlling Resources|Negotiation|Operations Analysis|Oral Comprehension|Organizing, Planning, and Prioritizing Work|Originality|Persuasion|Problem Sensitivity|Processing Information|Resolving Conflicts and Negotiating with Others|Speaking|Speech Clarity|Staffing Organizational Units|Written Comprehension",2015,2023,1.16003727509514,1.22376755129525,1.18363659639175,5.8465,98270,7.2413,206420,,1.3948,0.238570084666039,108150,1.1005393304162,1,1,1
11-1011.00,19-3093.00,34,43.6525411332807,"Active Listening|Analyzing Data or Information|Communicating with People Outside the Organization|Complex Problem Solving|Computers and Electronics|Coordinating the Work and Activities of Others|Coordination|Customer and Personal Service|Developing and Building Teams|Economics and Accounting|Education and Training|Fine Arts|Foreign Language|Geography|History and Archeology|Identifying Objects, Actions, and Events|Inductive Reasoning|Information Ordering|Instructing|Judgment and Decision Making|Monitoring|Operations Analysis|Oral Comprehension|Organizing, Planning, and Prioritizing Work|Originality|Persuasion|Problem Sensitivity|Psychology|Social Perceptiveness|Speech Clarity|Staffing Organizational Units|Thinking Creatively|Time Management|Training and Teaching Others",2015,2023,1.4601889475254,1.1886425575901,1.2838982686259,4.94030596940306,55800,7.2413,206420,,2.30099403059694,0.465759417503239,150620,2.69928315412186,1,1,1
11-1011.00,27-1023.00,31,39.2832889228787,"Active Listening|Communicating with People Outside the Organization|Complex Problem Solving|Coordination|Customer and Personal Service|Economics and Accounting|Fine Arts|Foreign Language|History and Archeology|Identifying Objects, Actions, and Events|Inductive Reasoning|Information Ordering|Judgment and Decision Making|Management of Financial Resources|Mathematical Reasoning|Monitoring and Controlling Resources|Negotiation|Operations Analysis|Oral Comprehension|Organizing, Planning, and Prioritizing Work|Originality|Personnel and Human Resources|Persuasion|Psychology|Resolving Conflicts and Negotiating with Others|Social Perceptiveness|Speaking|Speech Clarity|Thinking Creatively|Time Management|Written Comprehension",2015,2023,1.30060065267673,1.2575816308263,1.26720286847996,2.64,25010,7.2413,206420,,4.6013,1.74291666666667,181410,7.25349860055978,1,1,1
11-1011.00,27-1026.00,30,35.7339924675491,"Communicating with Supervisors, Peers, or Subordinates|Complex Problem Solving|Computers and Electronics|Coordinating the Work and Activities of Others|Coordination|Customer and Personal Service|Developing and Building Teams|Establishing and Maintaining Interpersonal Relationships|Evaluating Information to Determine Compliance with Standards|Fine Arts|Guiding, Directing, and Motivating Subordinates|History and Archeology|Identifying Objects, Actions, and Events|Inductive Reasoning|Information Ordering|Judgment and Decision Making|Negotiation|Operations Analysis|Oral Comprehension|Originality|Personnel and Human Resources|Persuasion|Psychology|Resolving Conflicts and Negotiating with Others|Social Perceptiveness|Speaking|Speech Clarity|Thinking Creatively|Time Management|Written Comprehension",2015,2023,1.1924326923387,1.20260528752422,1.19113308225164,3.6234,26870,7.2413,206420,,3.6179,0.998482088646023,179550,6.68217342761444,1,1,1
11-1011.00,29-9093.00,18,20.0321714702149,"Active Listening|Analyzing Data or Information|Communicating with Supervisors, Peers, or Subordinates|Developing and Building Teams|Education and Training|Evaluating Information to Determine Compliance with Standards|Foreign Language|Guiding, Directing, and Motivating Subordinates|Identifying Objects, Actions, and Events|Negotiation|Organizing, Planning, and Prioritizing Work|Problem Sensitivity|Processing Information|Psychology|Resolving Conflicts and Negotiating with Others|Speaking|Speech Clarity|Written Comprehension",2015,2023,1.09140491660942,1.14215555690644,1.11289841501194,5.12357528494301,48235,7.2413,206420,,2.11772471505699,0.413329481325372,158185,3.27946511868975,1,1,1
11-1011.00,33-9021.00,36,43.535859447192,"Active Listening|Analyzing Data or Information|Communicating with People Outside the Organization|Communicating with Supervisors, Peers, or Subordinates|Complex Problem Solving|Computers and Electronics|Customer and Personal Service|Economics and Accounting|Education and Training|Establishing and Maintaining Interpersonal Relationships|Fine Arts|Geography|History and Archeology|Identifying Objects, Actions, and Events|Inductive Reasoning|Information Ordering|Judgment and Decision Making|Management of Financial Resources|Mathematical Reasoning|Monitoring|Monitoring and Controlling Resources|Negotiation|Oral Comprehension|Originality|Personnel and Human Resources|Persuasion|Problem Sensitivity|Processing Information|Psychology|Public Safety and Security|Resolving Conflicts and Negotiating with Others|Social Perceptiveness|Speaking|Thinking Creatively|Time Management|Written Comprehension",2015,2023,1.22622542451901,1.21011774165778,1.20932942908867,4.50705070507051,45610,7.2413,206420,,2.73424929492949,0.606660424710425,160810,3.52576189432142,1,1,1
