"O.NET.SOC.Code","Element.ID","Element.Name","Data.Value","occupation_mean","skill_mean","rca","effective_use"
"11-3031.03","1.A.1.a.1","Oral Comprehension",4,2.63011299435028,3.78529411764706,1.11119487236007,TRUE
"11-3031.03","1.A.1.a.2","Written Comprehension",4,2.63011299435028,3.53823529411765,1.18878453925803,TRUE
"11-3031.03","1.A.1.a.3","Oral Expression",4,2.63011299435028,3.71147058823529,1.13329725075475,TRUE
"11-3031.03","1.A.1.a.4","Written Expression",3.75,2.63011299435028,3.28455882352941,1.20056061175908,TRUE
"11-3031.03","1.A.1.b.1","Fluency of Ideas",3.38,2.63011299435028,2.83308823529412,1.25454564403287,TRUE
"11-3031.03","1.A.1.b.2","Originality",3.38,2.63011299435028,2.74073529411765,1.29681932887768,TRUE
"11-3031.03","1.A.1.b.3","Problem Sensitivity",3.75,2.63011299435028,3.69691176470588,1.06665027501647,TRUE
"11-3031.03","1.A.1.b.4","Deductive Reasoning",4.12,2.63011299435028,3.55852941176471,1.21746510847941,TRUE
"11-3031.03","1.A.1.b.5","Inductive Reasoning",3.88,2.63011299435028,3.49088235294118,1.16876279948234,TRUE
"11-3031.03","1.A.1.b.6","Information Ordering",3.88,2.63011299435028,3.44485294117647,1.18437956602398,TRUE
"11-3031.03","1.A.1.b.7","Category Flexibility",3.38,2.63011299435028,3.13044117647059,1.13537942557868,TRUE
"11-3031.03","1.A.1.c.1","Mathematical Reasoning",3.88,2.63011299435028,2.66205882352941,1.53265337167782,TRUE
"11-3031.03","1.A.1.c.2","Number Facility",3.62,2.63011299435028,2.6025,1.46267453202047,TRUE
"11-3031.03","1.A.1.d.1","Memorization",2.88,2.63011299435028,2.445,1.23863541022945,TRUE
"11-3031.03","1.A.1.e.1","Speed of Closure",2.88,2.63011299435028,2.59588235294118,1.16664130582794,TRUE
"11-3031.03","1.A.1.e.2","Flexibility of Closure",3.38,2.63011299435028,2.99161764705882,1.18806576376608,TRUE
"11-3031.03","1.A.1.e.3","Perceptual Speed",3,2.63011299435028,2.91735294117647,1.08133970213284,TRUE
"11-3031.03","1.A.1.f.1","Spatial Orientation",1,2.63011299435028,1.53970588235294,0.682955014674028,FALSE
"11-3031.03","1.A.1.f.2","Visualization",2.75,2.63011299435028,2.78485294117647,1.0383895157629,TRUE
"11-3031.03","1.A.1.g.1","Selective Attention",3.12,2.63011299435028,3.10455882352941,1.05677995790572,TRUE
"11-3031.03","1.A.1.g.2","Time Sharing",2.75,2.63011299435028,2.7125,1.06608740905405,TRUE
"11-3031.03","1.A.2.a.1","Arm-Hand Steadiness",1,2.63011299435028,2.74102941176471,0.383633188670909,FALSE
"11-3031.03","1.A.2.a.2","Manual Dexterity",1,2.63011299435028,2.62735294117647,0.400231669295705,FALSE
"11-3031.03","1.A.2.a.3","Finger Dexterity",2.25,2.63011299435028,2.92308823529412,0.809413531125593,FALSE
"11-3031.03","1.A.2.b.1","Control Precision",1,2.63011299435028,2.59338235294118,0.405474284300373,FALSE
"11-3031.03","1.A.2.b.2","Multilimb Coordination",1,2.63011299435028,2.46794117647059,0.426083840045112,FALSE
"11-3031.03","1.A.2.b.3","Response Orientation",1,2.63011299435028,1.97014705882353,0.533741808138917,FALSE
"11-3031.03","1.A.2.b.4","Rate Control",1,2.63011299435028,1.9025,0.5527200281083,FALSE
"11-3031.03","1.A.2.c.1","Reaction Time",1,2.63011299435028,2.08764705882353,0.503700972361022,FALSE
"11-3031.03","1.A.2.c.2","Wrist-Finger Speed",1,2.63011299435028,1.81441176470588,0.579554141970909,FALSE
"11-3031.03","1.A.2.c.3","Speed of Limb Movement",1,2.63011299435028,1.70911764705882,0.615258905836953,FALSE
"11-3031.03","1.A.3.a.1","Static Strength",1,2.63011299435028,2.16529411764706,0.485638345805289,FALSE
"11-3031.03","1.A.3.a.2","Explosive Strength",1,2.63011299435028,1.19647058823529,0.878876475373288,FALSE
"11-3031.03","1.A.3.a.3","Dynamic Strength",1,2.63011299435028,1.82323529411765,0.57674939535708,FALSE
"11-3031.03","1.A.3.a.4","Trunk Strength",1,2.63011299435028,2.35308823529412,0.446880757679962,FALSE
"11-3031.03","1.A.3.b.1","Stamina",1,2.63011299435028,2.00823529411765,0.52361884912398,FALSE
"11-3031.03","1.A.3.c.1","Extent Flexibility",1,2.63011299435028,2.06588235294118,0.5090076170015,FALSE
"11-3031.03","1.A.3.c.2","Dynamic Flexibility",1,2.63011299435028,1.09338235294118,0.961740282937064,FALSE
"11-3031.03","1.A.3.c.3","Gross Body Coordination",1,2.63011299435028,1.875,0.560826588520555,FALSE
"11-3031.03","1.A.3.c.4","Gross Body Equilibrium",1,2.63011299435028,1.78132352941176,0.590319409199791,FALSE
"11-3031.03","1.A.4.a.1","Near Vision",3.62,2.63011299435028,3.62779411764706,1.04929065601225,TRUE
"11-3031.03","1.A.4.a.2","Far Vision",2.88,2.63011299435028,2.92132352941176,1.03667517394789,TRUE
"11-3031.03","1.A.4.a.3","Visual Color Discrimination",2.12,2.63011299435028,2.66235294117647,0.837336648680435,FALSE
"11-3031.03","1.A.4.a.4","Night Vision",1,2.63011299435028,1.35823529411765,0.774203010354815,FALSE
"11-3031.03","1.A.4.a.5","Peripheral Vision",1,2.63011299435028,1.40647058823529,0.747651506026461,FALSE
"11-3031.03","1.A.4.a.6","Depth Perception",1.62,2.63011299435028,2.31985294117647,0.734318426997912,FALSE
"11-3031.03","1.A.4.a.7","Glare Sensitivity",1,2.63011299435028,1.46264705882353,0.718936155603969,FALSE
"11-3031.03","1.A.4.b.1","Hearing Sensitivity",2,2.63011299435028,2.35397058823529,0.893426501360289,FALSE
"11-3031.03","1.A.4.b.2","Auditory Attention",2.12,2.63011299435028,2.41044117647059,0.92484550593073,FALSE
"11-3031.03","1.A.4.b.3","Sound Localization",1,2.63011299435028,1.38794117647059,0.757632867518232,FALSE
"11-3031.03","1.A.4.b.4","Speech Recognition",3.5,2.63011299435028,3.41382352941176,1.07809453401955,TRUE
"11-3031.03","1.A.4.b.5","Speech Clarity",3.75,2.63011299435028,3.42882352941176,1.15004808987987,TRUE
"11-3031.03","1.C.1.a","Achievement/Effort",4.56,2.63011299435028,3.88323529411765,1.23481246143244,TRUE
"11-3031.03","1.C.1.b","Persistence",4.52,2.63011299435028,3.91441176470588,1.21423233512809,TRUE
"11-3031.03","1.C.1.c","Initiative",4.49,2.63011299435028,4.04338235294118,1.16770031374179,TRUE
"11-3031.03","1.C.2.b","Leadership",3.99,2.63011299435028,3.72323529411765,1.12689195925871,TRUE
"11-3031.03","1.C.3.a","Cooperation",4.15,2.63011299435028,4.21367647058824,1.03565898387931,TRUE
"11-3031.03","1.C.3.b","Concern for Others",3.04,2.63011299435028,3.92838235294118,0.813747560029076,FALSE
"11-3031.03","1.C.3.c","Social Orientation",3.08,2.63011299435028,3.54838235294118,0.912746493066525,FALSE
"11-3031.03","1.C.4.a","Self-Control",4.06,2.63011299435028,4.14911764705882,1.02896393119609,TRUE
"11-3031.03","1.C.4.b","Stress Tolerance",4.61,2.63011299435028,4.15088235294118,1.16785888212169,TRUE
"11-3031.03","1.C.4.c","Adaptability/Flexibility",3.75,2.63011299435028,4.05808823529412,0.971716661121182,FALSE
"11-3031.03","1.C.5.a","Dependability",4.5,2.63011299435028,4.44573529411765,1.06438508538807,TRUE
"11-3031.03","1.C.5.b","Attention to Detail",4.39,2.63011299435028,4.50088235294118,1.02564419479732,TRUE
"11-3031.03","1.C.5.c","Integrity",4.92,2.63011299435028,4.40485294117647,1.17452849123274,TRUE
"11-3031.03","1.C.6","Independence",3.7,2.63011299435028,3.96205882352941,0.98199815579605,FALSE
"11-3031.03","1.C.7.a","Innovation",3.35,2.63011299435028,3.50426470588235,1.00525853632902,TRUE
"11-3031.03","1.C.7.b","Analytical Thinking",4.79,2.63011299435028,3.89176470588235,1.29425188283788,TRUE
"11-3031.03","2.A.1.a","Reading Comprehension",4,2.63011299435028,3.30483146067416,1.27274248746293,TRUE
"11-3031.03","2.A.1.b","Active Listening",4,2.63011299435028,3.51786516853933,1.19566817157198,TRUE
"11-3031.03","2.A.1.c","Writing",3.62,2.63011299435028,2.96438202247191,1.28411602847633,TRUE
"11-3031.03","2.A.1.d","Speaking",3.88,2.63011299435028,3.40775280898876,1.19727388111163,TRUE
"11-3031.03","2.A.1.e","Mathematics",3.38,2.63011299435028,2.48707865168539,1.42908166669375,TRUE
"11-3031.03","2.A.1.f","Science",1,2.63011299435028,2.00426966292135,0.524654877000603,FALSE
"11-3031.03","2.A.2.a","Critical Thinking",4,2.63011299435028,3.47539325842697,1.21028013267424,TRUE
"11-3031.03","2.A.2.b","Active Learning",3.75,2.63011299435028,3.01674157303371,1.30714277476863,TRUE
"11-3031.03","2.A.2.c","Learning Strategies",2.88,2.63011299435028,2.65910112359551,1.13890500482962,TRUE
"11-3031.03","2.A.2.d","Monitoring",3.5,2.63011299435028,3.31213483146067,1.11119404083651,TRUE
"11-3031.03","2.B.1.a","Social Perceptiveness",3,2.63011299435028,3.13943820224719,1.00484524848109,TRUE
"11-3031.03","2.B.1.b","Coordination",3.12,2.63011299435028,3.1147191011236,1.05333272000731,TRUE
"11-3031.03","2.B.1.c","Persuasion",3.12,2.63011299435028,2.72258426966292,1.20504462594704,TRUE
"11-3031.03","2.B.1.d","Negotiation",3,2.63011299435028,2.56033707865169,1.23212274927855,TRUE
"11-3031.03","2.B.1.e","Instructing",3,2.63011299435028,2.74898876404494,1.1475672806266,TRUE
"11-3031.03","2.B.1.f","Service Orientation",2.88,2.63011299435028,2.91606741573034,1.03854374616799,TRUE
"11-3031.03","2.B.2.i","Complex Problem Solving",3.75,2.63011299435028,3.12011235955056,1.26383652129219,TRUE
"11-3031.03","2.B.3.a","Operations Analysis",2,2.63011299435028,1.88168539325843,1.11766808335066,TRUE
"11-3031.03","2.B.3.b","Technology Design",1.88,2.63011299435028,1.65910112359551,1.19155710066105,TRUE
"11-3031.03","2.B.3.c","Equipment Selection",1,2.63011299435028,1.89595505617978,0.554628048828775,FALSE
"11-3031.03","2.B.3.d","Installation",1,2.63011299435028,1.23404494382022,0.852116333964924,FALSE
"11-3031.03","2.B.3.e","Programming",1.75,2.63011299435028,1.46056179775281,1.25993453095541,TRUE
"11-3031.03","2.B.3.g","Operations Monitoring",1.88,2.63011299435028,2.78752808988764,0.709199570654243,FALSE
"11-3031.03","2.B.3.h","Operation and Control",1,2.63011299435028,2.48112359550562,0.423820020647439,FALSE
"11-3031.03","2.B.3.j","Equipment Maintenance",1,2.63011299435028,1.85516853932584,0.566821736777709,FALSE
"11-3031.03","2.B.3.k","Troubleshooting",1,2.63011299435028,2.20707865168539,0.476444214017042,FALSE
"11-3031.03","2.B.3.l","Repairing",1,2.63011299435028,1.83280898876404,0.573736739574348,FALSE
"11-3031.03","2.B.3.m","Quality Control Analysis",1.5,2.63011299435028,2.5647191011236,0.615008785766457,FALSE
"11-3031.03","2.B.4.e","Judgment and Decision Making",3.88,2.63011299435028,3.20876404494382,1.27152179915381,TRUE
"11-3031.03","2.B.4.g","Systems Analysis",3.38,2.63011299435028,2.56865168539326,1.38369811872911,TRUE
"11-3031.03","2.B.4.h","Systems Evaluation",3.25,2.63011299435028,2.49292134831461,1.37089644890226,TRUE
"11-3031.03","2.B.5.a","Time Management",3.25,2.63011299435028,3.05786516853933,1.11762188174883,TRUE
"11-3031.03","2.B.5.b","Management of Financial Resources",2.75,2.63011299435028,1.81606741573034,1.5923208973474,TRUE
"11-3031.03","2.B.5.c","Management of Material Resources",2.25,2.63011299435028,1.97,1.20100871589903,TRUE
"11-3031.03","2.B.5.d","Management of Personnel Resources",2.88,2.63011299435028,2.62516853932584,1.15362634156385,TRUE
"11-3031.03","2.C.1.a","Administration and Management",3.19,2.63011299435028,2.9025,1.15570853835954,TRUE
"11-3031.03","2.C.1.b","Administrative",1.74,2.63011299435028,2.67073529411765,0.685091011856644,FALSE
"11-3031.03","2.C.1.c","Economics and Accounting",4.67,2.63011299435028,2.10279411764706,2.33533933470768,TRUE
"11-3031.03","2.C.1.d","Sales and Marketing",3.01,2.63011299435028,2.12558823529412,1.48907723820033,TRUE
"11-3031.03","2.C.1.e","Customer and Personal Service",3.67,2.63011299435028,3.62014705882353,1.06603071630776,TRUE
"11-3031.03","2.C.1.f","Personnel and Human Resources",2.38,2.63011299435028,2.33029411764706,1.07397973170871,TRUE
"11-3031.03","2.C.10","Transportation",1.62,2.63011299435028,2.07617647058824,0.820503838071402,FALSE
"11-3031.03","2.C.2.a","Production and Processing",1.63,2.63011299435028,2.37367647058824,0.72209767523254,FALSE
"11-3031.03","2.C.2.b","Food Production",1.03,2.63011299435028,1.23014705882353,0.88046086954527,FALSE
"11-3031.03","2.C.3.a","Computers and Electronics",3.1,2.63011299435028,2.92455882352941,1.11463121191104,TRUE
"11-3031.03","2.C.3.b","Engineering and Technology",1.52,2.63011299435028,2.32308823529412,0.68803059350056,FALSE
"11-3031.03","2.C.3.c","Design",1.18,2.63011299435028,2.00735294117647,0.618141833281447,FALSE
"11-3031.03","2.C.3.d","Building and Construction",1,2.63011299435028,1.74323529411765,0.603217395278984,FALSE
"11-3031.03","2.C.3.e","Mechanical",1.09,2.63011299435028,2.49117647058824,0.460099617117143,FALSE
"11-3031.03","2.C.4.a","Mathematics",4.34,2.63011299435028,3.13926470588235,1.4537564658165,TRUE
"11-3031.03","2.C.4.b","Physics",1.27,2.63011299435028,2.11941176470588,0.630112720969961,FALSE
"11-3031.03","2.C.4.c","Chemistry",1.1,2.63011299435028,2.35205882352941,0.491783975490858,FALSE
"11-3031.03","2.C.4.d","Biology",1.18,2.63011299435028,2.31617647058824,0.535722922177254,FALSE
"11-3031.03","2.C.4.e","Psychology",2.31,2.63011299435028,2.52632352941176,0.961507951475734,FALSE
"11-3031.03","2.C.4.f","Sociology and Anthropology",1.89,2.63011299435028,1.83544117647059,1.08280736454403,TRUE
"11-3031.03","2.C.4.g","Geography",1.95,2.63011299435028,1.71838235294118,1.19328635490734,TRUE
"11-3031.03","2.C.5.a","Medicine and Dentistry",1.35,2.63011299435028,2.40441176470588,0.590411477364529,FALSE
"11-3031.03","2.C.5.b","Therapy and Counseling",1.27,2.63011299435028,1.95088235294118,0.68454579636809,FALSE
