"skill1";"skill2";"name1";"name2";"weight";"count";"max_count"
"1.A.1.a.1";"1.A.1.a.2";"Oral Comprehension";"Written Comprehension";0,818181818181818;9;11
"1.A.1.a.1";"1.A.1.a.3";"Oral Comprehension";"Oral Expression";0,916666666666667;11;12
"1.A.1.a.1";"1.A.1.a.4";"Oral Comprehension";"Written Expression";0,727272727272727;8;11
"1.A.1.a.1";"1.A.1.b.3";"Oral Comprehension";"Problem Sensitivity";0,454545454545455;5;11
"1.A.1.a.1";"1.A.1.b.4";"Oral Comprehension";"Deductive Reasoning";0,909090909090909;10;11
"1.A.1.a.1";"1.A.1.c.1";"Oral Comprehension";"Mathematical Reasoning";0,454545454545455;5;11
"1.A.1.a.1";"1.A.1.c.2";"Oral Comprehension";"Number Facility";0,454545454545455;5;11
"1.A.1.a.1";"1.A.1.d.1";"Oral Comprehension";"Memorization";0,5;6;12
"1.A.1.a.1";"1.A.1.f.1";"Oral Comprehension";"Spatial Orientation";0,363636363636364;4;11
"1.A.1.a.1";"1.A.1.g.2";"Oral Comprehension";"Time Sharing";0,545454545454545;6;11
"1.A.1.a.1";"1.A.2.b.4";"Oral Comprehension";"Rate Control";0,5;6;12
"1.A.1.a.1";"1.A.4.a.4";"Oral Comprehension";"Night Vision";0,461538461538462;6;13
"1.A.1.a.1";"1.A.4.a.5";"Oral Comprehension";"Peripheral Vision";0,363636363636364;4;11
"1.A.1.a.1";"1.A.4.a.7";"Oral Comprehension";"Glare Sensitivity";0,454545454545455;5;11
"1.A.1.a.1";"1.A.4.b.4";"Oral Comprehension";"Speech Recognition";0,727272727272727;8;11
"1.A.1.a.1";"1.A.4.b.5";"Oral Comprehension";"Speech Clarity";0,727272727272727;8;11
"1.A.1.a.1";"1.C.1.a";"Oral Comprehension";"Achievement/Effort";0,545454545454545;6;11
"1.A.1.a.1";"1.C.1.b";"Oral Comprehension";"Persistence";0,636363636363636;7;11
"1.A.1.a.1";"1.C.1.c";"Oral Comprehension";"Initiative";0,454545454545455;5;11
"1.A.1.a.1";"1.C.2.b";"Oral Comprehension";"Leadership";0,363636363636364;4;11
"1.A.1.a.1";"1.C.3.a";"Oral Comprehension";"Cooperation";0,727272727272727;8;11
"1.A.1.a.1";"1.C.3.b";"Oral Comprehension";"Concern for Others";0,545454545454545;6;11
"1.A.1.a.1";"1.C.3.c";"Oral Comprehension";"Social Orientation";0,636363636363636;7;11
"1.A.1.a.1";"1.C.4.a";"Oral Comprehension";"Self-Control";0,727272727272727;8;11
"1.A.1.a.1";"1.C.5.a";"Oral Comprehension";"Dependability";0,666666666666667;8;12
"1.A.1.a.1";"1.C.5.c";"Oral Comprehension";"Integrity";0,636363636363636;7;11
"1.A.1.a.1";"1.C.6";"Oral Comprehension";"Independence";0,636363636363636;7;11
"1.A.1.a.1";"1.C.7.b";"Oral Comprehension";"Analytical Thinking";0,545454545454545;6;11
"1.A.1.a.1";"2.C.1.a";"Oral Comprehension";"Administration and Management";0,363636363636364;4;11
"1.A.1.a.1";"2.C.1.b";"Oral Comprehension";"Administrative";0,454545454545455;5;11
"1.A.1.a.1";"2.C.1.c";"Oral Comprehension";"Economics and Accounting";0,454545454545455;5;11
"1.A.1.a.1";"2.C.1.e";"Oral Comprehension";"Customer and Personal Service";0,545454545454545;6;11
"1.A.1.a.1";"2.C.1.f";"Oral Comprehension";"Personnel and Human Resources";0,181818181818182;2;11
"1.A.1.a.1";"2.C.10";"Oral Comprehension";"Transportation";0,454545454545455;5;11
"1.A.1.a.1";"2.C.2.a";"Oral Comprehension";"Production and Processing";0,545454545454545;6;11
"1.A.1.a.1";"2.C.2.b";"Oral Comprehension";"Food Production";0,181818181818182;2;11
"1.A.1.a.1";"2.C.3.a";"Oral Comprehension";"Computers and Electronics";0,545454545454545;6;11
"1.A.1.a.1";"2.C.4.a";"Oral Comprehension";"Mathematics";0,454545454545455;5;11
"1.A.1.a.1";"2.C.4.d";"Oral Comprehension";"Biology";0,272727272727273;3;11
"1.A.1.a.1";"2.C.4.e";"Oral Comprehension";"Psychology";0,454545454545455;5;11
"1.A.1.a.1";"2.C.4.f";"Oral Comprehension";"Sociology and Anthropology";0,272727272727273;3;11
"1.A.1.a.1";"2.C.4.g";"Oral Comprehension";"Geography";0,363636363636364;4;11
"1.A.1.a.1";"2.C.5.a";"Oral Comprehension";"Medicine and Dentistry";0,181818181818182;2;11
"1.A.1.a.1";"2.C.5.b";"Oral Comprehension";"Therapy and Counseling";0,363636363636364;4;11
"1.A.1.a.1";"2.C.6";"Oral Comprehension";"Education and Training";0,5;6;12
"1.A.1.a.1";"2.C.7.a";"Oral Comprehension";"English Language";0,636363636363636;7;11
"1.A.1.a.1";"2.C.7.b";"Oral Comprehension";"Foreign Language";0,363636363636364;4;11
"1.A.1.a.1";"2.C.7.c";"Oral Comprehension";"Fine Arts";0,363636363636364;4;11
"1.A.1.a.1";"2.C.7.d";"Oral Comprehension";"History and Archeology";0,363636363636364;4;11
"1.A.1.a.1";"2.C.8.a";"Oral Comprehension";"Public Safety and Security";0,454545454545455;5;11
"1.A.1.a.1";"2.C.8.b";"Oral Comprehension";"Law and Government";0,272727272727273;3;11
"1.A.1.a.1";"2.C.9.a";"Oral Comprehension";"Telecommunications";0,363636363636364;4;11
"1.A.1.a.1";"2.C.9.b";"Oral Comprehension";"Communications and Media";0,545454545454545;6;11
"1.A.1.a.1";"4.A.2.a.1";"Oral Comprehension";"Judging the Qualities of Objects, Services, or People";0,454545454545455;5;11
"1.A.1.a.1";"4.A.2.a.2";"Oral Comprehension";"Processing Information";0,818181818181818;9;11
"1.A.1.a.1";"4.A.2.a.3";"Oral Comprehension";"Evaluating Information to Determine Compliance with Standards";0,636363636363636;7;11
"1.A.1.a.1";"4.A.2.b.5";"Oral Comprehension";"Scheduling Work and Activities";0,636363636363636;7;11
"1.A.1.a.1";"4.A.3.a.4";"Oral Comprehension";"Operating Vehicles, Mechanized Devices, or Equipment";0,384615384615385;5;13
"1.A.1.a.1";"4.A.3.b.1";"Oral Comprehension";"Working with Computers";0,545454545454545;6;11
"1.A.1.a.1";"4.A.4.a.4";"Oral Comprehension";"Establishing and Maintaining Interpersonal Relationships";0,583333333333333;7;12
"1.A.1.a.1";"4.A.4.a.5";"Oral Comprehension";"Assisting and Caring for Others";0,636363636363636;7;11
"1.A.1.a.1";"4.A.4.a.6";"Oral Comprehension";"Selling or Influencing Others";0,545454545454545;6;11
"1.A.1.a.1";"4.A.4.a.7";"Oral Comprehension";"Resolving Conflicts and Negotiating with Others";0,636363636363636;7;11
"1.A.1.a.1";"4.A.4.b.3";"Oral Comprehension";"Training and Teaching Others";0,727272727272727;8;11
"1.A.1.a.1";"4.A.4.b.5";"Oral Comprehension";"Coaching and Developing Others";0,583333333333333;7;12
"1.A.1.a.1";"4.A.4.c.1";"Oral Comprehension";"Performing Administrative Activities";0,454545454545455;5;11
"1.A.1.a.1";"4.A.4.c.2";"Oral Comprehension";"Staffing Organizational Units";0,363636363636364;4;11
"1.A.1.a.1";"4.A.4.c.3";"Oral Comprehension";"Monitoring and Controlling Resources";0,272727272727273;3;11
"1.A.1.a.1";"1.A.1.b.1";"Oral Comprehension";"Fluency of Ideas";0,636363636363636;7;11
"1.A.1.a.1";"1.A.1.b.2";"Oral Comprehension";"Originality";0,818181818181818;9;11
"1.A.1.a.1";"1.A.1.b.5";"Oral Comprehension";"Inductive Reasoning";0,545454545454545;6;11
"1.A.1.a.1";"1.A.1.b.6";"Oral Comprehension";"Information Ordering";0,666666666666667;8;12
"1.A.1.a.1";"1.A.1.b.7";"Oral Comprehension";"Category Flexibility";0,454545454545455;5;11
"1.A.1.a.1";"1.A.1.e.1";"Oral Comprehension";"Speed of Closure";0,363636363636364;4;11
"1.A.1.a.1";"1.A.1.e.2";"Oral Comprehension";"Flexibility of Closure";0,363636363636364;4;11
"1.A.1.a.1";"1.A.1.e.3";"Oral Comprehension";"Perceptual Speed";0,545454545454545;6;11
"1.A.1.a.1";"1.A.1.g.1";"Oral Comprehension";"Selective Attention";0,454545454545455;5;11
"1.A.1.a.1";"1.A.2.b.3";"Oral Comprehension";"Response Orientation";0,363636363636364;4;11
"1.A.1.a.1";"1.A.2.c.1";"Oral Comprehension";"Reaction Time";0,363636363636364;4;11
"1.A.1.a.1";"1.A.2.c.2";"Oral Comprehension";"Wrist-Finger Speed";0,272727272727273;3;11
"1.A.1.a.1";"1.A.2.c.3";"Oral Comprehension";"Speed of Limb Movement";0,272727272727273;3;11
"1.A.1.a.1";"1.A.3.a.2";"Oral Comprehension";"Explosive Strength";0,272727272727273;3;11
"1.A.1.a.1";"1.A.3.b.1";"Oral Comprehension";"Stamina";0,363636363636364;4;11
"1.A.1.a.1";"1.A.3.c.2";"Oral Comprehension";"Dynamic Flexibility";0,363636363636364;4;11
"1.A.1.a.1";"1.A.3.c.3";"Oral Comprehension";"Gross Body Coordination";0,272727272727273;3;11
"1.A.1.a.1";"1.A.4.a.2";"Oral Comprehension";"Far Vision";0,272727272727273;3;11
"1.A.1.a.1";"1.A.4.a.3";"Oral Comprehension";"Visual Color Discrimination";0,545454545454545;6;11
"1.A.1.a.1";"1.A.4.b.1";"Oral Comprehension";"Hearing Sensitivity";0,454545454545455;5;11
"1.A.1.a.1";"1.A.4.b.2";"Oral Comprehension";"Auditory Attention";0,363636363636364;4;11
"1.A.1.a.1";"1.C.4.b";"Oral Comprehension";"Stress Tolerance";0,545454545454545;6;11
"1.A.1.a.1";"1.C.4.c";"Oral Comprehension";"Adaptability/Flexibility";0,454545454545455;5;11
"1.A.1.a.1";"1.C.5.b";"Oral Comprehension";"Attention to Detail";0,818181818181818;9;11
"1.A.1.a.1";"2.C.7.e";"Oral Comprehension";"Philosophy and Theology";0,272727272727273;3;11
"1.A.1.a.1";"4.A.1.a.1";"Oral Comprehension";"Getting Information";0,642857142857143;9;14
"1.A.1.a.1";"4.A.1.b.1";"Oral Comprehension";"Identifying Objects, Actions, and Events";0,636363636363636;7;11
"1.A.1.a.1";"4.A.2.a.4";"Oral Comprehension";"Analyzing Data or Information";0,75;9;12
"1.A.1.a.1";"4.A.2.b.1";"Oral Comprehension";"Making Decisions and Solving Problems";0,636363636363636;7;11
"1.A.1.a.1";"4.A.2.b.3";"Oral Comprehension";"Updating and Using Relevant Knowledge";0,727272727272727;8;11
