"O.NET.SOC.Code";"Element.ID";"Element.Name";"Data.Value";"occupation_sum";"skill_sum";"rca";"effective_use"
"13-1074.00";"1.A.1.a.1";"Oral Comprehension";3,62;358,23;66,01;1,17554814681755;TRUE
"13-1074.00";"1.A.1.a.2";"Written Comprehension";2,88;358,23;54,65;1,12964999536835;TRUE
"13-1074.00";"1.A.1.a.3";"Oral Expression";3,5;358,23;64,54;1,162467090091;TRUE
"13-1074.00";"1.A.1.a.4";"Written Expression";2,88;358,23;52,02;1,18676225003615;TRUE
"13-1074.00";"1.A.1.b.1";"Fluency of Ideas";2,12;358,23;47,3;0,960763075253895;FALSE
"13-1074.00";"1.A.1.b.2";"Originality";2;358,23;47,15;0,909263759969372;FALSE
"13-1074.00";"1.A.1.b.3";"Problem Sensitivity";3,12;358,23;66,66;1,00330012902471;TRUE
"13-1074.00";"1.A.1.b.4";"Deductive Reasoning";2,88;358,23;61,66;1,00122238480182;TRUE
"13-1074.00";"1.A.1.b.5";"Inductive Reasoning";2,75;358,23;60,03;0,981987441920945;FALSE
"13-1074.00";"1.A.1.b.6";"Information Ordering";2,88;358,23;62,29;0,991096038639918;FALSE
"13-1074.00";"1.A.1.b.7";"Category Flexibility";2,62;358,23;58,26;0,963989701856303;FALSE
"13-1074.00";"1.A.1.c.1";"Mathematical Reasoning";2,12;358,23;42,65;1,06551215614324;TRUE
"13-1074.00";"1.A.1.c.2";"Number Facility";2,12;358,23;43,77;1,03824750878477;TRUE
"13-1074.00";"1.A.1.d.1";"Memorization";2,12;358,23;40,78;1,11437208090999;TRUE
"13-1074.00";"1.A.1.e.1";"Speed of Closure";2;358,23;45,02;0,95228312489018;FALSE
"13-1074.00";"1.A.1.e.2";"Flexibility of Closure";2,25;358,23;55,88;0,863113091765844;FALSE
"13-1074.00";"1.A.1.e.3";"Perceptual Speed";2,12;358,23;55,15;0,824008947588563;FALSE
"13-1074.00";"1.A.1.f.1";"Spatial Orientation";2;358,23;41,27;1,0388123644913;TRUE
"13-1074.00";"1.A.1.f.2";"Visualization";1,88;358,23;58,52;0,688644550676735;FALSE
"13-1074.00";"1.A.1.g.1";"Selective Attention";2,75;358,23;60,04;0,981823886384316;FALSE
"13-1074.00";"1.A.1.g.2";"Time Sharing";2,5;358,23;50,66;1,0578312841136;TRUE
"13-1074.00";"1.A.2.a.1";"Arm-Hand Steadiness";2,38;358,23;69,55;0,733535955086147;FALSE
"13-1074.00";"1.A.2.a.2";"Manual Dexterity";2,38;358,23;67,53;0,755477945746209;FALSE
"13-1074.00";"1.A.2.a.3";"Finger Dexterity";2;358,23;64;0,669871660664936;FALSE
"13-1074.00";"1.A.2.b.1";"Control Precision";2,88;358,23;65,01;0,949628860896485;FALSE
"13-1074.00";"1.A.2.b.2";"Multilimb Coordination";2,88;358,23;66,04;0,934817871697161;FALSE
"13-1074.00";"1.A.2.b.3";"Response Orientation";2,25;358,23;49,3;0,978311553100921;FALSE
"13-1074.00";"1.A.2.b.4";"Rate Control";2,38;358,23;50,16;1,0170938133222;TRUE
"13-1074.00";"1.A.2.c.1";"Reaction Time";2,38;358,23;54,93;0,928771630734417;FALSE
"13-1074.00";"1.A.2.c.2";"Wrist-Finger Speed";1,12;358,23;41,76;0,574909011451899;FALSE
"13-1074.00";"1.A.2.c.3";"Speed of Limb Movement";2,12;358,23;46,15;0,98470408362967;FALSE
"13-1074.00";"1.A.3.a.1";"Static Strength";2,12;358,23;58,52;0,776556620975893;FALSE
"13-1074.00";"1.A.3.a.2";"Explosive Strength";1;358,23;26,77;0,800743113234141;FALSE
"13-1074.00";"1.A.3.a.3";"Dynamic Strength";1,88;358,23;48,77;0,826316979815512;FALSE
"13-1074.00";"1.A.3.a.4";"Trunk Strength";2,38;358,23;58,91;0,866023182417951;FALSE
"13-1074.00";"1.A.3.b.1";"Stamina";2;358,23;51,51;0,832300257863636;FALSE
"13-1074.00";"1.A.3.c.1";"Extent Flexibility";1,88;358,23;54,89;0,734186174268583;FALSE
"13-1074.00";"1.A.3.c.2";"Dynamic Flexibility";1;358,23;24,64;0,869963195668748;FALSE
"13-1074.00";"1.A.3.c.3";"Gross Body Coordination";2;358,23;49,53;0,865572103423297;FALSE
"13-1074.00";"1.A.3.c.4";"Gross Body Equilibrium";1,75;358,23;49,02;0,765255263101518;FALSE
"13-1074.00";"1.A.4.a.1";"Near Vision";3;358,23;68,89;0,933483516095716;FALSE
"13-1074.00";"1.A.4.a.2";"Far Vision";2,5;358,23;57,41;0,933456416185244;FALSE
"13-1074.00";"1.A.4.a.3";"Visual Color Discrimination";2,25;358,23;56,31;0,856522102075571;FALSE
"13-1074.00";"1.A.4.a.4";"Night Vision";1,88;358,23;35,4;1,13840336456504;TRUE
"13-1074.00";"1.A.4.a.5";"Peripheral Vision";2,12;358,23;38,01;1,19558256931095;TRUE
"13-1074.00";"1.A.4.a.6";"Depth Perception";2,5;358,23;55,92;0,958328556029951;FALSE
"13-1074.00";"1.A.4.a.7";"Glare Sensitivity";2;358,23;39,91;1,07421163323868;TRUE
"13-1074.00";"1.A.4.b.1";"Hearing Sensitivity";2,12;358,23;50,87;0,893337791616066;FALSE
"13-1074.00";"1.A.4.b.2";"Auditory Attention";2,12;358,23;52,42;0,866922805408418;FALSE
"13-1074.00";"1.A.4.b.3";"Sound Localization";1,62;358,23;35,27;0,984580291717332;FALSE
"13-1074.00";"1.A.4.b.4";"Speech Recognition";3,25;358,23;61,05;1,14114091251684;TRUE
"13-1074.00";"1.A.4.b.5";"Speech Clarity";3,38;358,23;61,81;1,17219412421161;TRUE
"13-1074.00";"1.C.1.a";"Achievement/Effort";4,03;358,23;72,69;1,18842549675815;TRUE
"13-1074.00";"1.C.1.b";"Persistence";3,88;358,23;73,54;1,13096635012454;TRUE
"13-1074.00";"1.C.1.c";"Initiative";3,89;358,23;74,76;1,11537753236452;TRUE
"13-1074.00";"1.C.2.b";"Leadership";3,8;358,23;69,89;1,16549426150889;TRUE
"13-1074.00";"1.C.3.a";"Cooperation";3,98;358,23;78,19;1,09112232641369;TRUE
"13-1074.00";"1.C.3.b";"Concern for Others";3,88;358,23;73,8;1,12698191582871;TRUE
"13-1074.00";"1.C.3.c";"Social Orientation";3,4;358,23;63,82;1,14199368035639;TRUE
"13-1074.00";"1.C.4.a";"Self-Control";3,65;358,23;76,17;1,0271893129272;TRUE
"13-1074.00";"1.C.4.b";"Stress Tolerance";3,4;358,23;74,53;0,977888590907621;FALSE
"13-1074.00";"1.C.4.c";"Adaptability/Flexibility";3,4;358,23;73,9;0,98622512422659;FALSE
"13-1074.00";"1.C.5.a";"Dependability";4,16;358,23;85,76;1,03980078670378;TRUE
"13-1074.00";"1.C.5.b";"Attention to Detail";3,75;358,23;83,7;0,960389477655822;FALSE
"13-1074.00";"1.C.5.c";"Integrity";4,16;358,23;78,62;1,13423194438713;TRUE
"13-1074.00";"1.C.6";"Independence";3,4;358,23;71,93;1,01323559961553;TRUE
"13-1074.00";"1.C.7.a";"Innovation";2,97;358,23;65,23;0,976001879957006;FALSE
"13-1074.00";"1.C.7.b";"Analytical Thinking";3,31;358,23;65,92;1,07634718291308;TRUE
"13-1074.00";"2.C.1.a";"Administration and Management";2,83;358,23;53,59;1,13199435696616;TRUE
"13-1074.00";"2.C.1.b";"Administrative";2,49;358,23;38,48;1,38709391688623;TRUE
"13-1074.00";"2.C.1.c";"Economics and Accounting";2,73;358,23;36,14;1,61925811498862;TRUE
"13-1074.00";"2.C.1.d";"Sales and Marketing";1,38;358,23;39,44;0,750038857377372;FALSE
"13-1074.00";"2.C.1.e";"Customer and Personal Service";2,98;358,23;57,73;1,10651241228145;TRUE
"13-1074.00";"2.C.1.f";"Personnel and Human Resources";3,43;358,23;42,41;1,73367397959404;TRUE
"13-1074.00";"2.C.10";"Transportation";2,36;358,23;47,03;1,07566888822913;TRUE
"13-1074.00";"2.C.2.a";"Production and Processing";3,25;358,23;52,41;1,32926259700731;TRUE
"13-1074.00";"2.C.2.b";"Food Production";3,48;358,23;25,76;2,89584270697388;TRUE
"13-1074.00";"2.C.3.a";"Computers and Electronics";2,53;358,23;37,55;1,44428254720195;TRUE
"13-1074.00";"2.C.3.b";"Engineering and Technology";1,47;358,23;44,65;0,705728172848345;FALSE
"13-1074.00";"2.C.3.c";"Design";1,23;358,23;44,4;0,593832174859727;FALSE
"13-1074.00";"2.C.3.d";"Building and Construction";1,22;358,23;48,87;0,535129724419053;FALSE
"13-1074.00";"2.C.3.e";"Mechanical";2,68;358,23;59,59;0,964057620718659;FALSE
"13-1074.00";"2.C.4.a";"Mathematics";3,48;358,23;60,17;1,23976912301225;TRUE
"13-1074.00";"2.C.4.b";"Physics";1,21;358,23;38,22;0,678635026189072;FALSE
"13-1074.00";"2.C.4.c";"Chemistry";1,49;358,23;42,24;0,756143010902087;FALSE
"13-1074.00";"2.C.4.d";"Biology";1,65;358,23;27,17;1,30177488712214;TRUE
"13-1074.00";"2.C.4.e";"Psychology";1,89;358,23;39,6;1,02307671810645;TRUE
"13-1074.00";"2.C.4.f";"Sociology and Anthropology";1,59;358,23;28,59;1,19213256714347;TRUE
"13-1074.00";"2.C.4.g";"Geography";1,85;358,23;32,16;1,23309708679615;TRUE
"13-1074.00";"2.C.5.a";"Medicine and Dentistry";2,27;358,23;32,84;1,48171368546592;TRUE
"13-1074.00";"2.C.5.b";"Therapy and Counseling";1,89;358,23;29,87;1,35633873575545;TRUE
