"Period","Level","Group","GroupSize","Skills"
"2005-2009",0,24,13,"Information Ordering, Visual Color Discrimination, Social Orientation, Dependability, Integrity, Independence, Innovation, Production and Processing, Design, Psychology, Education and Training, Performing General Physical Activities, Establishing and Maintaining Interpersonal Relationships"
"2005-2009",0,26,14,"Written Comprehension, Written Expression, Fluency of Ideas, Customer and Personal Service, Engineering and Technology, Public Safety and Security, Identifying Objects, Actions, and Events, Estimating the Quantifiable Characteristics of Products, Events, or Information, Processing Information, Working with Computers, Assisting and Caring for Others, Selling or Influencing Others, Resolving Conflicts and Negotiating with Others, Performing for or Working Directly with the Public"
"2005-2009",0,33,17,"Finger Dexterity, Near Vision, Speech Recognition, Speech Clarity, Achievement/Effort, Persistence, Cooperation, Concern for Others, Self-Control, Analytical Thinking, Sales and Marketing, Computers and Electronics, Mathematics, Chemistry, English Language, Communications and Media, Monitoring Processes, Materials, or Surroundings"
"2005-2009",0,55,10,"Memorization, Visualization, Arm-Hand Steadiness, Manual Dexterity, Trunk Strength, Night Vision, Mechanical, Getting Information, Handling and Moving Objects, Operating Vehicles, Mechanized Devices, or Equipment"
"2005-2009",0,82,24,"Perceptual Speed, Spatial Orientation, Selective Attention, Time Sharing, Control Precision, Multilimb Coordination, Response Orientation, Rate Control, Reaction Time, Wrist-Finger Speed, Speed of Limb Movement, Stamina, Extent Flexibility, Gross Body Coordination, Gross Body Equilibrium, Peripheral Vision, Depth Perception, Glare Sensitivity, Auditory Attention, Sound Localization, Physics, Geography, Controlling Machines and Processes, Repairing and Maintaining Mechanical Equipment"
"2005-2009",0,83,15,"Problem Sensitivity, Inductive Reasoning, Transportation, Judging the Qualities of Objects, Services, or People, Evaluating Information to Determine Compliance with Standards, Making Decisions and Solving Problems, Developing Objectives and Strategies, Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment, Repairing and Maintaining Electronic Equipment, Documenting/Recording Information, Coordinating the Work and Activities of Others, Developing and Building Teams, Guiding, Directing, and Motivating Subordinates, Performing Administrative Activities, Staffing Organizational Units"
"2005-2009",0,100,16,"Category Flexibility, Mathematical Reasoning, Number Facility, Speed of Closure, Flexibility of Closure, Static Strength, Explosive Strength, Dynamic Strength, Far Vision, Hearing Sensitivity, Administration and Management, Biology, Sociology and Anthropology, Medicine and Dentistry, Law and Government, Inspecting Equipment, Structures, or Materials"
"2005-2009",0,116,17,"Dynamic Flexibility, Initiative, Leadership, Stress Tolerance, Adaptability/Flexibility, Administrative, Economics and Accounting, Personnel and Human Resources, Food Production, Building and Construction, Therapy and Counseling, Foreign Language, Fine Arts, History and Archeology, Philosophy and Theology, Telecommunications, Monitoring and Controlling Resources"
"2005-2009",0,141,16,"Oral Comprehension, Oral Expression, Originality, Deductive Reasoning, Attention to Detail, Analyzing Data or Information, Thinking Creatively, Updating and Using Relevant Knowledge, Scheduling Work and Activities, Organizing, Planning, and Prioritizing Work, Interpreting the Meaning of Information for Others, Communicating with Supervisors, Peers, or Subordinates, Communicating with People Outside the Organization, Training and Teaching Others, Coaching and Developing Others, Providing Consultation and Advice to Others"
"2010-2014",0,11,16,"Written Comprehension, Written Expression, Finger Dexterity, Near Vision, Speech Clarity, Achievement/Effort, Persistence, Cooperation, Self-Control, Speaking, Mathematics, Monitoring, Instructing, Management of Financial Resources, Customer and Personal Service, History and Archeology"
